,KWH
7161,1691
7162,5448
7163,9913
7164,7531
7165,7635
7166,13022
7167,5886
7168,12109
7169,12927
7170,3547
7171,11119
7172,10600
7173,5472
7174,7085
7175,14939
7176,13046
7177,7319
7178,7208
7179,10584
7180,3813
7181,13116
7182,13004
7183,7359
7184,29404
7185,3974
7186,7616
7187,3143
7188,9954
7189,55977
7190,5571
7191,21920
7192,14384
7193,17569
7194,4359
7195,20510
7196,3961
7197,9541
7198,8601
7199,16306
7200,18217
7201,5885
7202,4458
7203,2137
7204,9192
7205,21603
7206,9502
7207,7040
7208,10952
7209,16603
7210,9273
7211,4546
7212,14708
7213,12776
7214,10041
7215,11317
7216,10442
7217,3031
7218,2734
7219,4984
7220,19402
7221,5085
7222,29694
7223,2142
7224,12651
7225,10030
7226,14481
7227,19568
7228,3158
7229,14947
7230,1445
7231,13499
7232,9743
7233,3973
7234,6039
7235,4515
7236,11582
7237,8745
7238,4872
7239,36791
7240,22839
7241,13063
7242,20549
7243,18675
7244,5625
7245,9310
7246,5002
7247,13274
7248,4061
7249,15807
7250,5297
7251,11643
7252,29762
7253,7130
7254,10846
7255,4894
7256,12248
7257,8238
7258,19706
7259,8963
7260,15297
7261,11519
7262,19334
7263,11425
7264,2983
7265,2481
7266,1424
7267,10147
7268,7310
7269,37704
7270,3443
7271,17854
7272,4096
7273,9639
7274,6183
7275,6626
7276,6204
7277,13694
7278,12665
7279,21218
7280,8243
7281,19060
7282,12550
7283,5556
7284,9041
7285,17095
7286,5519
7287,10437
7288,4830
7289,4177
7290,7275
7291,9847
7292,6762
7293,2870
7294,5547
7295,11250
7296,6842
7297,5581
7298,7854
7299,3296
7300,18485
7301,9518
7302,18664
7303,14229
7304,9241
7305,12077
7306,15059
7307,12561
7308,17692
7309,10936
7310,24072
7311,10269
7312,12819
7313,4975
7314,18948
7315,1866
7316,4274
7317,4089
7318,3140
7319,29123
7320,4217
7321,2611
7322,19052
7323,6840
7324,28157
7325,15808
7326,11098
7327,10535
7328,3281
7329,20223
7330,5525
7331,13649
7332,4006
7333,14599
7334,13082
7335,10825
7336,9308
7337,12262
7338,17398
7339,11539
7340,7079
7341,3863
7342,6832
7343,7760
7344,8771
7345,29426
7346,17323
7347,4703
7348,8959
7349,8420
7350,8393
7351,18828
7352,3989
7353,28563
7354,16512
7355,12195
7356,7196
7357,10781
7358,6425
7359,8147
7360,12440
7361,10169
7362,9752
7363,3124
7364,13179
7365,4202
7366,9133
7367,5173
7368,7423
7369,9665
7370,16832
7371,16117
7372,15857
7373,13850
7374,24971
7375,5731
7376,34314
7377,12581
7378,7362
7379,18163
7380,3003
7381,10190
7382,14269
7383,5364
7384,12304
7385,2414
7386,3306
7387,15699
7388,2589
7389,4075
7390,11335
7391,10819
7392,10675
7393,7294
7394,2436
7395,6964
7396,17626
7397,3505
7398,15871
7399,3921
7400,11742
7401,1640
7402,7161
7403,5669
7404,17822
7405,14406
7406,26290
7407,10566
7408,31246
7409,17018
7410,4161
7411,4353
7412,6539
7413,5810
7414,10656
7415,32227
7416,22389
7417,12437
7418,13877
7419,9911
7420,9309
7421,8231
7422,22105
7423,31136
7424,6007
7425,5903
7426,4218
7427,2394
7428,11468
7429,11332
7430,15202
7431,2947
7432,7449
7433,18194
7434,12131
7435,22130
7436,10491
7437,4397
7438,20465
7439,5533
7440,9591
7441,6527
7442,7353
7443,18362
7444,27166
7445,11566
7446,6083
7447,12950
7448,2812
7449,5632
7450,19187
7451,13595
7452,21688
7453,452
7454,8136
7455,6107
7456,10729
7457,18832
7458,7438
7459,7085
7460,17408
7461,7350
7462,22865
7463,10191
7464,8824
7465,19200
7466,14757
7467,3267
7468,25791
7469,28801
7470,17791
7471,7784
7472,12251
7473,3323
7474,9921
7475,57260
7476,6867
7477,10078
7478,20853
7479,8232
7480,1886
7481,8491
7482,2559
7483,9538
7484,7149
7485,25127
7486,10324
7487,5141
7488,5702
7489,7499
7490,7669
7491,5149
7492,18447
7493,2916
7494,3877
7495,5061
7496,9978
7497,3504
7498,9436
7499,14217
7500,9202
7501,3478
7502,13934
7503,6360
7504,11705
7505,3113
7506,28017
7507,14960
7508,6171
7509,5905
7510,12809
7511,19774
7512,6636
7513,9995
7514,3284
7515,9153
7516,2291
7517,12749
7518,14293
7519,8586
7520,6355
7521,10697
7522,22480
7523,14747
7524,5293
7525,13743
7526,10120
7527,14128
7528,6697
7529,8513
7530,2562
7531,5496
7532,10195
7533,5682
7534,25182
7535,3354
7536,18218
7537,3023
7538,10058
7539,16571
7540,10103
7541,17536
7542,14757
7543,12036
7544,13144
7545,6452
7546,16140
7547,5443
7548,3691
7549,6643
7550,6722
7551,28559
7552,7810
7553,3920
7554,10897
7555,7938
7556,13080
7557,9575
7558,6196
7559,38175
7560,15307
7561,8347
7562,5110
7563,3724
7564,5742
7565,6474
7566,13658
7567,10852
7568,2118
7569,10179
7570,8136
7571,5530
7572,5729
7573,5779
7574,4475
7575,5013
7576,22901
7577,21330
7578,4057
7579,18786
7580,8209
7581,4369
7582,3592
7583,10980
7584,6479
7585,18519
7586,18697
7587,14926
7588,13071
7589,16078
7590,3711
7591,12278
7592,10129
7593,2786
7594,23570
7595,1296
7596,6445
7597,11220
7598,18812
7599,6045
7600,16339
7601,17797
7602,7261
7603,1011
7604,5957
7605,16598
7606,10174
7607,9311
7608,6068
7609,19966
7610,12971
7611,12775
7612,8060
7613,8749
7614,8044
7615,6776
7616,7320
7617,15132
7618,27167
7619,8543
7620,14091
7621,6276
7622,11078
7623,2490
7624,16032
7625,4155
7626,9093
7627,16288
7628,2613
7629,5627
7630,1306
7631,12277
7632,2503
7633,1552
7634,10734
7635,13503
7636,28681
7637,32257
7638,5183
7639,9631
7640,25430
7641,11525
7642,11932
7643,38805
7644,13644
7645,22853
7646,5471
7647,2592
7648,3517
7649,19322
7650,14953
7651,8854
7652,26041
7653,6045
7654,35112
7655,13242
7656,6816
7657,16536
7658,10837
7659,6024
7660,23089
7661,4118
7662,9826
7663,6499
7664,33753
7665,5510
7666,8957
7667,5706
7668,13664
7669,8138
7670,20920
7671,7310
7672,2833
7673,6697
7674,2729
7675,22014
7676,6133
7677,7179
7678,13842
7679,27275
7680,14418
7681,8122
7682,5720
7683,7562
7684,22466
7685,9162
7686,17395
7687,5323
7688,3737
7689,4257
7690,3637
7691,13597
7692,23540
7693,13704
7694,21358
7695,8919
7696,12383
7697,5664
7698,9413
7699,12819
7700,16256
7701,5013
7702,14612
7703,7989
7704,7546
7705,9594
7706,2860
7707,12884
7708,7565
7709,20884
7710,13877
7711,12666
7712,5560
7713,4097
7714,14692
7715,18498
7716,6771
7717,28496
7718,5416
7719,8902
7720,13654
7721,4249
7722,12182
7723,10255
7724,5685
7725,11608
7726,5249
7727,12659
7728,11326
7729,10771
7730,11946
7731,9075
7732,3878
7733,5353
7734,10825
7735,39658
7736,9825
7737,8007
7738,18691
7739,23881
7740,10794
7741,5222
7742,3265
7743,6978
7744,7323
7745,7117
7746,10276
7747,7965
7748,5741
7749,4072
7750,5393
7751,5295
7752,10025
7753,8256
7754,12365
7755,22185
7756,3347
7757,7664
7758,5628
7759,8459
7760,7261
7761,11046
7762,16598
7763,17291
7764,20434
7765,15515
7766,3276
7767,23413
7768,31330
7769,3600
7770,10445
7771,17935
7772,11473
7773,14447
7774,19247
7775,7247
7776,10392
7777,12494
7778,8833
7779,4777
7780,9782
7781,12703
7782,2820
7783,5298
7784,11963
7785,17044
7786,18079
7787,18607
7788,9131
7789,3577
7790,6840
7791,22091
7792,7819
7793,10775
7794,8208
7795,12096
7796,15902
7797,11951
7798,7580
7799,18789
7800,13136
7801,10220
7802,6746
7803,5586
7804,10526
7805,4266
7806,4978
7807,4454
7808,13437
7809,9960
7810,17322
7811,7965
7812,24614
7813,9348
7814,11897
7815,11661
7816,11185
7817,49704
7818,6140
7819,14787
7820,6559
7821,15215
7822,6458
7823,16201
7824,15761
7825,16121
7826,5950
7827,5586
7828,17451
7829,7456
7830,14932
7831,5586
7832,8986
7833,14313
7834,9420
7835,11365
7836,17088
7837,9620
7838,10732
7839,8774
7840,22010
7841,5204
7842,16757
7843,3741
7844,6564
7845,4447
7846,2210
7847,7727
7848,9542
7849,5560
7850,18526
7851,16297
7852,14618
7853,14762
7854,11974
7855,21281
7856,2481
7857,2519
7858,10568
7859,6093
7860,30680
7861,18017
7862,4238
7863,2730
7864,15005
7865,4887
7866,7454
7867,14463
7868,27417
7869,21415
7870,10073
7871,23609
7872,9614
7873,3118
7874,9852
7875,14434
7876,5378
7877,7180
7878,3749
7879,9179
7880,10106
7881,4981
7882,12894
7883,4328
7884,9802
7885,14888
7886,13573
7887,3268
7888,9999
7889,7672
7890,4128
7891,2968
7892,2839
7893,14640
7894,7362
7895,19370
7896,21887
7897,24416
7898,6684
7899,10896
7900,12823
7901,9558
7902,15035
7903,11384
7904,12556
7905,5653
7906,728
7907,986
7908,11159
7909,2584
7910,2926
7911,26091
7912,26771
7913,3678
7914,3622
7915,6991
7916,5567
7917,11831
7918,13488
7919,19172
7920,17579
7921,9051
7922,2960
7923,16147
7924,10588
7925,6510
7926,13175
7927,4291
7928,10646
7929,10034
7930,9159
7931,6155
7932,11356
7933,4476
7934,3317
7935,6675
7936,2766
7937,8970
7938,14547
7939,2848
7940,6977
7941,22090
7942,4655
7943,43395
7944,8837
7945,11333
7946,7395
7947,13779
7948,13067
7949,12367
7950,24319
7951,3552
7952,15927
7953,11571
7954,8949
7955,12370
7956,11991
7957,18352
7958,3183
7959,13191
7960,6403
7961,27554
7962,18963
7963,37843
7964,13869
7965,8545
7966,13823
7967,7818
7968,6780
7969,11564
7970,21732
7971,14234
7972,6484
7973,12409
7974,17222
7975,6646
7976,11303
7977,2640
7978,9610
7979,5087
7980,3172
7981,15387
7982,3963
7983,7812
7984,9777
7985,7219
7986,15919
7987,7860
7988,5412
7989,11186
7990,4327
7991,12894
7992,13056
7993,5013
7994,20977
7995,11206
7996,11457
7997,9966
7998,5276
7999,10600
8000,36809
8001,7779
8002,10369
8003,20319
8004,3454
8005,7686
8006,12678
8007,13099
8008,20637
8009,15929
8010,11962
8011,6165
8012,4867
8013,8632
8014,12490
8015,3011
8016,9943
8017,7235
8018,9768
8019,7655
8020,3558
8021,8893
8022,18376
8023,12697
8024,3258
8025,10696
8026,11173
8027,17115
8028,13045
8029,7448
8030,2725
8031,17372
8032,7470
8033,7010
8034,6035
8035,9891
8036,6564
8037,20730
8038,8091
8039,19931
8040,11990
8041,8381
8042,15734
8043,7762
8044,12833
8045,1938
8046,24808
8047,16794
8048,16601
8049,9274
8050,4965
8051,2823
8052,3192
8053,4379
8054,9868
8055,3369
8056,3571
8057,18686
8058,7632
8059,10819
8060,4028
8061,2274
8062,10364
8063,24862
8064,6520
8065,14145
8066,13781
8067,655
8068,18859
8069,9342
8070,21941
8071,14745
8072,15715
8073,13736
8074,7081
8075,9275
8076,7936
8077,10379
8078,12559
8079,10375
8080,13971
8081,6995
8082,21616
8083,16084
8084,10761
8085,14773
8086,17488
8087,21964
8088,11433
8089,17908
8090,2442
8091,12168
8092,12540
8093,13920
8094,19185
8095,14157
8096,6896
8097,4156
8098,4848
8099,4717
8100,2838
8101,13807
8102,9934
8103,10213
8104,16447
8105,17932
8106,23931
8107,5872
8108,13751
8109,1464
8110,6757
8111,11594
8112,77622
8113,20350
8114,2726
8115,6258
8116,10975
8117,1963
8118,9250
8119,10928
8120,2941
8121,17564
8122,9302
8123,2327
8124,19227
8125,33793
8126,9846
8127,10705
8128,3764
8129,4351
8130,5300
8131,18581
8132,4986
8133,12085
8134,11902
8135,4618
8136,9066
8137,14801
8138,9644
8139,23569
8140,15115
8141,4081
8142,2904
8143,15743
8144,13775
8145,13441
8146,31817
8147,7984
8148,15544
8149,20822
8150,22954
8151,13490
8152,13373
8153,14495
8154,4024
8155,19249
8156,16712
8157,24894
8158,3229
8159,3722
8160,6088
8161,20035
8162,15216
8163,3277
8164,3579
8165,25873
8166,10105
8167,1084
8168,10384
8169,6054
8170,13935
8171,2670
8172,28484
8173,13477
8174,13457
8175,3045
8176,9947
8177,14267
8178,23387
8179,2869
8180,6239
8181,20733
8182,17001
8183,8714
8184,7689
8185,6022
8186,7115
8187,3392
8188,8638
8189,3853
8190,6829
8191,22119
8192,19745
8193,2824
8194,26924
8195,11089
8196,11866
8197,3016
8198,6141
8199,11196
8200,21861
8201,7306
8202,14176
8203,7175
8204,19158
8205,7823
8206,4292
8207,3820
8208,4862
8209,8402
8210,18740
8211,7104
8212,12812
8213,15933
8214,18382
8215,2253
8216,6897
8217,6599
8218,1033
8219,9886
8220,20697
8221,1516
8222,8710
8223,43261
8224,4982
8225,6604
8226,20351
8227,17309
8228,2855
8229,7554
8230,12469
8231,11181
8232,14935
8233,9640
8234,8353
8235,24903
8236,8284
8237,1786
8238,2661
8239,6377
8240,9556
8241,10628
8242,19097
8243,5561
8244,9187
8245,2581
8246,14728
8247,41414
8248,8977
8249,8288
8250,4005
8251,2350
8252,20783
8253,10452
8254,14250
8255,4947
8256,7147
8257,6775
8258,3056
8259,20601
8260,7505
8261,9054
8262,4301
8263,11850
8264,15583
8265,5312
8266,15036
8267,23387
8268,12748
8269,2563
8270,14534
8271,2924
8272,20812
8273,10446
8274,5078
8275,12220
8276,4431
8277,23540
8278,8598
8279,11315
8280,9456
8281,31494
8282,1091
8283,28027
8284,2523
8285,9244
8286,5557
8287,12764
8288,11835
8289,7717
8290,5959
8291,10349
8292,4875
8293,18806
8294,7022
8295,8775
8296,9337
8297,6722
8298,11714
8299,4990
8300,4260
8301,3076
8302,1684
8303,9566
8304,5285
8305,8083
8306,6715
8307,4483
8308,2509
8309,14283
8310,20358
8311,6287
8312,18612
8313,10039
8314,8275
8315,8485
8316,13243
8317,7381
8318,14635
8319,8961
8320,14755
8321,1760
8322,15396
8323,11894
8324,11337
8325,7602
8326,13922
8327,7968
8328,22067
8329,8400
8330,3682
8331,2533
8332,16187
8333,25993
8334,3593
8335,13627
8336,9180
8337,7786
8338,19468
8339,8742
8340,6390
8341,5789
8342,1228
8343,9001
8344,21987
8345,3380
8346,14730
8347,13606
8348,4408
8349,24468
8350,9682
8351,8537
8352,14739
8353,18716
8354,17100
8355,13778
8356,7662
8357,4869
8358,8174
8359,5148
8360,10197
8361,10040
8362,5345
8363,11293
8364,22099
8365,6553
8366,8858
8367,8515
8368,11207
8369,5152
8370,10753
8371,10351
8372,22138
8373,18013
8374,18877
8375,12100
8376,12990
8377,10176
8378,12258
8379,10265
8380,29684
8381,10197
8382,32199
8383,17897
8384,10636
8385,17876
8386,18902
8387,11839
8388,3501
8389,12063
8390,4129
8391,4862
8392,15108
8393,13835
8394,13150
8395,2327
8396,14679
8397,2688
8398,6099
8399,12141
8400,20953
8401,4106
8402,5481
8403,8037
8404,28047
8405,7891
8406,16755
8407,4855
8408,6793
8409,10507
8410,8740
8411,11531
8412,10111
8413,8147
8414,6120
8415,17440
8416,12905
8417,7438
8418,27264
8419,12540
8420,2845
8421,10711
8422,4340
8423,2352
8424,6354
8425,4226
8426,16266
8427,5134
8428,47850
8429,5620
8430,6332
8431,8266
8432,10228
8433,1785
8434,1876
8435,17001
8436,3361
8437,16201
8438,3817
8439,9447
8440,7988
8441,9821
8442,13554
8443,6106
8444,11833
8445,24835
8446,10838
8447,12320
8448,8382
8449,10469
8450,5246
8451,7766
8452,16094
8453,7394
8454,8196
8455,7363
8456,5446
8457,6088
8458,3572
8459,5602
8460,3455
8461,14882
8462,4367
8463,7122
8464,7769
8465,13926
8466,21828
8467,5407
8468,10762
8469,15810
8470,3149
8471,3772
8472,8175
8473,4785
8474,6592
8475,17908
8476,12720
8477,9799
8478,5237
8479,23001
8480,2478
8481,6905
8482,13982
8483,4262
8484,6835
8485,10016
8486,8258
8487,13590
8488,26662
8489,4762
8490,9965
8491,2621
8492,2820
8493,4272
8494,6380
8495,7088
8496,4803
8497,13573
8498,12502
8499,20023
8500,28349
8501,11143
8502,6390
8503,11481
8504,16964
8505,9493
8506,4798
8507,11493
8508,14359
8509,5051
8510,4953
8511,14560
8512,24217
8513,5422
8514,14815
8515,17451
8516,15622
8517,17385
8518,9615
8519,7800
8520,18154
8521,2794
8522,4566
8523,9822
8524,11094
8525,18385
8526,3983
8527,21437
8528,16651
8529,17300
8530,4386
8531,2772
8532,28028
8533,12161
8534,2073
8535,8672
8536,3168
8537,2365
8538,1481
8539,9198
8540,18136
8541,7197
8542,21413
8543,6583
8544,25389
8545,10240
8546,9996
8547,5355
8548,9407
8549,9441
8550,6092
8551,11979
8552,25356
8553,17928
8554,15713
8555,4704
8556,5702
8557,17094
8558,6484
8559,2893
8560,5925
8561,4809
8562,1985
8563,3475
8564,4826
8565,18519
8566,2765
8567,3727
8568,20739
8569,18055
8570,10160
8571,14668
8572,15205
8573,7231
8574,10568
8575,15460
8576,24480
8577,13228
8578,3250
8579,13447
8580,10112
8581,11811
8582,12475
8583,5601
8584,3736
8585,16615
8586,963
8587,11580
8588,23177
8589,11169
8590,1382
8591,10511
8592,1293
8593,9395
8594,13421
8595,14292
8596,10203
8597,3578
8598,8810
8599,13127
8600,17453
8601,11074
8602,13505
8603,9516
8604,12098
8605,11709
8606,8810
8607,7358
8608,3064
8609,10597
8610,1622
8611,20799
8612,9188
8613,16187
8614,21367
8615,7683
8616,4859
8617,11197
8618,28526
8619,5197
8620,17104
8621,24197
8622,8343
8623,2055
8624,11915
8625,9061
8626,11173
8627,4739
8628,8360
8629,12608
8630,5334
8631,2354
8632,7891
8633,4482
8634,5249
8635,3765
8636,12451
8637,26706
8638,7959
8639,5545
8640,9111
8641,19613
8642,3818
8643,4295
8644,6544
8645,8520
8646,11775
8647,9610
8648,14812
8649,22047
8650,23358
8651,4730
8652,3546
8653,7412
8654,3479
8655,7383
8656,9652
8657,8978
8658,8694
8659,6864
8660,15074
8661,8433
8662,6118
8663,15567
8664,1783
8665,17567
8666,4426
8667,3682
8668,19091
8669,13324
8670,9171
8671,6129
8672,8048
8673,5689
8674,28455
8675,6059
8676,7708
8677,9058
8678,11441
8679,11136
8680,8183
8681,5558
8682,3216
8683,20552
8684,2050
8685,13007
8686,7882
8687,9243
8688,3106
8689,4577
8690,12421
8691,20674
8692,8254
8693,8866
8694,12122
8695,3696
8696,6660
8697,19556
8698,11678
8699,4744
8700,10070
8701,11407
8702,12594
8703,4497
8704,3292
8705,5466
8706,2519
8707,3522
8708,19004
8709,15149
8710,10070
8711,17273
8712,14631
8713,7151
8714,13000
8715,6034
8716,16539
8717,9100
8718,12106
8719,9231
8720,16150
8721,10780
8722,18209
8723,5810
8724,8042
8725,10836
8726,5972
8727,4741
8728,7386
8729,15633
8730,15621
8731,7501
8732,4012
8733,22165
8734,10632
8735,6040
8736,28150
8737,12911
8738,5759
8739,5878
8740,2041
8741,2130
8742,4229
8743,14722
8744,5920
8745,6186
8746,9469
8747,15266
8748,16778
8749,21490
8750,12200
8751,5843
8752,7819
8753,11168
8754,3817
8755,8220
8756,7641
8757,12300
8758,9588
8759,12522
8760,1737
8761,8728
8762,13816
8763,12914
8764,17890
8765,12616
8766,3716
8767,3472
8768,4419
8769,11853
8770,16266
8771,18414
8772,19428
8773,6711
8774,4968
8775,23390
8776,18419
8777,4304
8778,18186
8779,12953
8780,5766
8781,2658
8782,29455
8783,1987
8784,10550
8785,8672
8786,9090
8787,20458
8788,5366
8789,10986
8790,10701
8791,10636
8792,4091
8793,4763
8794,9565
8795,7157
8796,6166
8797,11210
8798,32139
8799,26611
8800,7209
8801,1579
8802,2525
8803,2865
8804,11368
8805,7775
8806,5417
8807,33813
8808,6080
8809,20000
8810,12948
8811,9582
8812,11426
8813,2853
8814,5814
8815,6989
8816,16798
8817,16508
8818,22151
8819,8418
8820,11556
8821,19014
8822,8629
8823,11415
8824,6396
8825,9057
8826,15037
8827,13537
8828,4897
8829,22530
8830,6181
8831,4577
8832,16054
8833,13015
8834,6147
8835,8558
8836,5688
8837,5453
8838,6260
8839,4180
8840,17427
8841,8964
8842,7831
8843,5617
8844,7405
8845,1627
8846,7724
8847,9288
8848,11016
8849,13906
8850,4747
8851,8161
8852,11259
8853,31710
8854,16388
8855,6210
8856,14961
8857,18670
8858,1487
8859,6157
8860,4145
8861,17624
8862,6665
8863,14517
8864,8854
8865,10109
8866,1674
8867,5878
8868,14630
8869,10067
8870,19111
8871,22063
8872,10161
8873,18600
8874,10179
8875,15277
8876,14671
8877,4654
8878,9903
8879,22102
8880,34685
8881,6077
8882,7374
8883,5347
8884,11083
8885,12002
8886,2114
8887,10333
8888,12794
8889,17045
8890,15570
8891,9329
8892,20226
8893,3504
8894,16169
8895,15345
8896,18254
8897,2629
8898,17843
8899,13217
8900,11818
8901,4174
8902,17379
8903,8780
8904,32623
8905,19722
8906,6562
8907,6037
8908,13096
8909,4666
8910,7877
8911,4002
8912,7362
8913,15486
8914,14210
8915,10624
8916,29353
8917,11183
8918,13107
8919,10472
8920,31554
8921,7153
8922,4640
8923,6725
8924,22025
8925,6592
8926,3551
8927,15578
8928,3152
8929,7226
8930,8663
8931,8451
8932,7150
8933,8150
8934,10306
8935,3464
8936,6149
8937,1856
8938,5636
8939,7171
8940,21568
8941,2769
8942,17517
8943,12860
8944,4052
8945,20095
8946,1415
8947,2987
8948,10145
8949,17302
8950,38372
8951,7318
8952,13095
8953,2803
8954,6742
8955,12068
8956,19360
8957,11177
8958,13013
8959,7431
8960,18817
8961,8395
8962,19516
8963,15463
8964,26320
8965,10881
8966,3178
8967,11773
8968,38326
8969,3142
8970,15159
8971,3511
8972,3627
8973,6844
8974,2676
8975,18153
8976,27229
8977,23195
8978,11588
8979,10237
8980,5686
8981,7561
8982,15086
8983,13080
8984,7761
8985,5004
8986,10844
8987,5199
8988,5041
8989,9534
8990,11502
8991,11405
8992,21440
8993,4365
8994,8913
8995,29113
8996,15580
8997,18032
8998,6119
8999,9473
9000,9609
9001,9912
9002,7082
9003,5531
9004,6054
9005,13995
9006,9612
9007,13515
9008,14478
9009,14442
9010,12970
9011,8772
9012,4957
9013,7620
9014,13342
9015,12510
9016,13701
9017,9134
9018,22942
9019,2620
9020,12314
9021,4164
9022,12725
9023,8837
9024,18146
9025,7153
9026,6875
9027,7421
9028,7385
9029,10078
9030,12847
9031,5955
9032,21394
9033,3225
9034,24950
9035,10446
9036,6818
9037,21436
9038,16654
9039,25226
9040,7355
9041,16011
9042,23030
9043,6513
9044,6323
9045,8723
9046,6760
9047,26337
9048,10232
9049,23020
9050,10562
9051,7120
9052,10534
9053,11705
9054,42216
9055,2846
9056,3114
9057,7644
9058,11138
9059,15018
9060,4804
9061,4666
9062,7936
9063,1594
9064,6598
9065,9868
9066,29131
9067,5648
9068,8105
9069,20421
9070,13163
9071,12284
9072,6685
9073,8118
9074,4739
9075,3345
9076,7115
9077,18403
9078,8213
9079,27835
9080,15360
9081,15763
9082,1257
9083,8407
9084,15034
9085,2958
9086,18358
9087,16209
9088,4849
9089,31863
9090,28686
9091,13808
9092,8750
9093,17082
9094,19363
9095,29475
9096,10317
9097,7900
9098,6049
9099,15604
9100,10914
9101,17691
9102,16511
9103,6036
9104,8737
9105,5209
9106,4017
9107,7285
9108,4298
9109,19724
9110,27506
9111,10489
9112,2771
9113,2388
9114,10569
9115,10665
9116,4356
9117,6388
9118,12179
9119,20403
9120,6448
9121,3687
9122,12251
9123,9224
9124,16011
9125,4600
9126,6228
9127,20345
9128,6152
9129,72725
9130,13262
9131,10108
9132,2109
9133,11426
9134,8800
9135,3672
9136,37562
9137,31595
9138,8312
9139,10455
9140,10982
9141,2629
9142,19840
9143,11817
9144,6306
9145,11598
9146,18233
9147,17996
9148,17825
9149,5368
9150,13419
9151,12251
9152,13196
9153,2780
9154,5180
9155,9673
9156,6117
9157,5736
9158,9784
9159,7770
9160,10413
9161,1019
9162,5945
9163,5606
9164,16045
9165,10015
9166,4997
9167,5391
9168,13767
9169,45467
9170,4816
9171,9086
9172,8233
9173,8316
9174,4899
9175,4035
9176,15152
9177,43738
9178,6332
9179,15272
9180,7597
9181,8392
9182,34005
9183,11601
9184,5114
9185,3826
9186,12672
9187,1728
9188,12424
9189,10781
9190,5452
9191,12633
9192,17932
9193,10040
9194,17854
9195,6634
9196,6084
9197,7417
9198,22243
9199,53287
9200,1280
9201,11044
9202,4524
9203,15377
9204,29352
9205,21571
9206,12167
9207,11729
9208,6511
9209,5174
9210,12345
9211,19175
9212,13475
9213,6870
9214,10229
9215,1517
9216,5095
9217,9678
9218,9563
9219,26870
9220,15807
9221,10079
9222,5556
9223,22368
9224,12083
9225,24970
9226,13211
9227,14173
9228,15580
9229,12842
9230,3590
9231,7925
9232,3757
9233,8037
9234,2083
9235,6920
9236,6548
9237,6746
9238,7250
9239,2943
9240,12942
9241,8505
9242,28641
9243,5132
9244,5830
9245,3866
9246,14871
9247,1164
9248,9364
9249,12134
9250,8781
9251,4236
9252,22191
9253,7516
9254,23915
9255,10939
9256,31675
9257,25250
9258,15808
9259,4493
9260,26064
9261,999
9262,3098
9263,6928
9264,5776
9265,3680
9266,9372
9267,7436
9268,13706
9269,13630
9270,13183
9271,2995
9272,6517
9273,24779
9274,2961
9275,7204
9276,15736
9277,5529
9278,7565
9279,17683
9280,16459
9281,15512
9282,7059
9283,5833
9284,21420
9285,7408
9286,54338
9287,9620
9288,19836
9289,19764
9290,8713
9291,11485
9292,4901
9293,19503
9294,6455
9295,5341
9296,14074
9297,15613
9298,2966
9299,3485
9300,5562
9301,3224
9302,12433
9303,15006
9304,20484
9305,4843
9306,7640
9307,3428
9308,15153
9309,5398
9310,4879
9311,12806
9312,19639
9313,14152
9314,8758
9315,18259
9316,4019
9317,15250
9318,21635
9319,868
9320,2817
9321,6118
9322,14856
9323,7902
9324,18333
9325,54978
9326,19133
9327,7210
9328,15040
9329,1034
9330,3483
9331,16529
9332,14368
9333,23582
9334,22060
9335,7073
9336,14431
9337,4988
9338,17369
9339,5071
9340,7221
9341,4342
9342,6897
9343,15472
9344,13257
9345,4564
9346,1355
9347,885
9348,21718
9349,25348
9350,14926
9351,7489
9352,12281
9353,4523
9354,14038
9355,21827
9356,29526
9357,9540
9358,36586
9359,10720
9360,7309
9361,6361
9362,11926
9363,15500
9364,11632
9365,26437
9366,2806
9367,4500
9368,2798
9369,8562
9370,8220
9371,42885
9372,9664
9373,7799
9374,6896
9375,14854
9376,8147
9377,6704
9378,4119
9379,12385
9380,10388
9381,9933
9382,5223
9383,8768
9384,5879
9385,22517
9386,29631
9387,3773
9388,13512
9389,5016
9390,11136
9391,8727
9392,26671
9393,3389
9394,3612
9395,14013
9396,10087
9397,13668
9398,8833
9399,6845
9400,5664
9401,22171
9402,12388
9403,8365
9404,5456
9405,9876
9406,3406
9407,6727
9408,7299
9409,7328
9410,19144
9411,2084
9412,15294
9413,9113
9414,6102
9415,15209
9416,6229
9417,5555
9418,13664
9419,846
9420,3255
9421,9699
9422,21161
9423,39247
9424,6400
9425,21045
9426,10249
9427,4830
9428,12536
9429,5702
9430,13093
9431,13396
9432,10086
9433,16557
9434,8649
9435,15921
9436,3369
9437,5880
9438,8591
9439,26247
9440,11214
9441,6785
9442,3679
9443,6425
9444,2900
9445,2263
9446,9309
9447,17220
9448,4673
9449,3155
9450,15432
9451,21213
9452,7831
9453,6785
9454,1827
9455,9307
9456,5486
9457,10500
9458,7784
9459,1819
9460,2446
9461,12941
9462,12986
9463,7509
9464,9296
9465,10980
9466,11125
9467,4810
9468,8504
9469,3260
9470,5558
9471,6845
9472,11020
9473,10207
9474,5983
9475,1582
9476,20702
9477,8940
9478,3781
9479,15556
9480,7062
9481,4493
9482,15298
9483,6421
9484,17112
9485,13593
9486,18763
9487,8252
9488,6937
9489,11299
9490,10858
9491,4438
9492,5997
9493,9385
9494,5670
