,KWH
1291,9318
1292,9166
1293,15491
1294,5976
1295,5031
1296,7345
1297,6033
1298,17994
1299,4215
1300,3327
1301,17038
1302,7735
1303,5272
1304,12005
1305,18601
1306,7189
1307,4324
1308,15529
1309,906
1310,12477
1311,4022
1312,11631
1313,5865
1314,5616
1315,8315
1316,24384
1317,6605
1318,15948
1319,20504
1320,3302
1321,3824
1322,8986
1323,10157
1324,10176
1325,3399
1326,9312
1327,31345
1328,29981
1329,26202
1330,10867
1331,13632
1332,14531
1333,13217
1334,10913
1335,12023
1336,9150
1337,27935
1338,7357
1339,17242
1340,3884
1341,8567
1342,9740
1343,12231
1344,13174
1345,8894
1346,8174
1347,9367
1348,5932
1349,9583
1350,14238
1351,2370
1352,4332
1353,23388
1354,9311
1355,14180
1356,4824
1357,6677
1358,9357
1359,6854
1360,3856
1361,15593
1362,60183
1363,10401
1364,11510
1365,25634
1366,4931
1367,10853
1368,4239
1369,7358
1370,9279
1371,23797
1372,17379
1373,4673
1374,6414
1375,6024
1376,6864
1377,43763
1378,29786
1379,20177
1380,9564
1381,7278
1382,6057
1383,6099
1384,7181
1385,4499
1386,7598
1387,2843
1388,16466
1389,21997
1390,27900
1391,10600
1392,12167
1393,10508
1394,8594
1395,12202
1396,6522
1397,3564
1398,7510
1399,11809
1400,7208
1401,2805
1402,12154
1403,15363
1404,34015
1405,9167
1406,4224
1407,31365
1408,24971
1409,13268
1410,5377
1411,3311
1412,7252
1413,4126
1414,22370
1415,3563
1416,2501
1417,18023
1418,5783
1419,17738
1420,5994
1421,16171
1422,5177
1423,10819
1424,5660
1425,14068
1426,6074
1427,5015
1428,3824
1429,8083
1430,13360
1431,9822
1432,10197
1433,4615
1434,1416
1435,6877
1436,10507
1437,6634
1438,10574
1439,12537
1440,10434
1441,8020
1442,15472
1443,8720
1444,18123
1445,15118
1446,17426
1447,17625
1448,1959
1449,11760
1450,9779
1451,10938
1452,1388
1453,12114
1454,13695
1455,4786
1456,7715
1457,15564
1458,6647
1459,2204
1460,10549
1461,6508
1462,28062
1463,14926
1464,14512
1465,17080
1466,11581
1467,11758
1468,4467
1469,12367
1470,8394
1471,18761
1472,3633
1473,11779
1474,4584
1475,30496
1476,9524
1477,25275
1478,27217
1479,15360
1480,5231
1481,4358
1482,10532
1483,7703
1484,3225
1485,8051
1486,29971
1487,18158
1488,1985
1489,6530
1490,5697
1491,9555
1492,8211
1493,7492
1494,9296
1495,10633
1496,11584
1497,7829
1498,19909
1499,11877
1500,6118
1501,16488
1502,7857
