,NWEIGHT
1047,5878.402179
1048,14073.517740000001
1049,8932.057918999999
1050,17230.626959999998
1051,6798.750092
1052,6267.948926
1053,7136.883223000001
1054,8728.127177
1055,2935.6824579999998
1056,6139.278015
1057,4786.031736
1058,4555.8926280000005
1059,23078.963969999997
1060,6032.396798
1061,5562.511571
1062,8274.019976000001
1063,9416.899062
1064,8345.546871999999
1065,12575.241759999999
1066,13799.922730000002
1067,14567.192019999999
1068,3576.142762
1069,8356.948977
1070,7742.863509999999
1071,6992.056023
1072,9154.918208
1073,8272.56572
1074,7190.390209
1075,21406.24171
1076,15578.66102
1077,6576.849304
1078,15489.57529
1079,7707.692212999999
1080,10016.75472
1081,10215.13909
1082,10845.197320000001
1083,9574.479435
1084,6583.356646
1085,10049.70102
1086,6311.29738
1087,6064.483560000001
1088,6612.766977
1089,9330.294519
1090,4622.784832
1091,4697.213935
1092,14727.34879
1093,9567.872936
1094,3909.177638
1095,21468.23398
1096,12549.29802
1097,17543.66629
1098,9229.279406
1099,8458.371946
1100,2778.2590379999997
1101,7453.651868999999
1102,6373.546189
1103,6035.60744
1104,8913.816181999999
1105,4114.66097
1106,2742.574723
1107,11465.61918
1108,14549.07581
1109,10062.81034
1110,2711.43251
1111,6910.328762
1112,4751.9717
1113,7742.862886
1114,15046.41125
1115,7720.402379000001
1116,12469.95971
1117,6252.347858
1118,2778.258944
1119,29148.28853
1120,19500.08876
1121,7264.470670000001
1122,6800.5841709999995
1123,17427.99082
1124,4751.971737
1125,9516.478859
1126,4151.133691
1127,9713.216144
1128,7872.637464
1129,9229.512773999999
1130,18001.16864
1131,7327.2254920000005
1132,12100.5282
1133,14615.70336
1134,7088.611672
1135,6800.583686
1136,7571.025522
1137,8236.297858
1138,29169.80213
1139,24080.23346
1140,11465.61942
1141,11226.26051
1142,8862.186956
1143,7579.084916
1144,4181.560168
1145,18381.74829
1146,21684.65416
1147,7549.589212999999
1148,2993.339684
1149,8742.804866
1150,8280.193471999999
1151,7537.760795
1152,16140.97075
1153,8064.0332769999995
1154,8862.18657
1155,9131.56616
1156,12332.24231
1157,3305.631009
1158,11362.76142
1159,13336.6253
1160,10774.58603
1161,7327.2254920000005
1162,2894.867694
1163,4674.747118
1164,19177.03706
1165,4193.993085
1166,7305.365768000001
1167,2969.400298
1168,7862.341949
1169,8345.546821
1170,4687.525033
1171,5897.1294960000005
1172,4842.515303
1173,6861.287276000001
1174,2742.574483
1175,13826.62854
1176,9170.43985
1177,6297.038269
1178,19177.03731
1179,22872.565459999998
1180,37518.823260000005
1181,2969.4001710000002
1182,7970.44472
1183,10007.98942
1184,11174.22846
1185,6910.330951999999
1186,15309.785030000001
1187,6745.507789
1188,10550.90005
1189,3424.3090899999997
1190,4311.345005
1191,6589.420687
1192,4193.99283
1193,7107.35927
1194,7148.361073
1195,9005.897813
1196,13723.265730000001
1197,17163.84104
1198,9865.102656000001
1199,7595.513911
1200,8862.187049
1201,12661.5806
1202,6763.239425
1203,11525.60758
1204,2993.339684
1205,15716.66673
1206,2673.735584
1207,13723.265730000001
1208,6027.156905
1209,6822.464
1210,6206.519013
1211,4232.4868289999995
1212,12948.205320000001
1213,8122.516359
1214,14264.792459999999
1215,6113.882882
1216,9290.390815
1217,13371.71747
1218,9396.765808
1219,7866.0445150000005
1220,8500.603137
1221,18001.16864
1222,7232.626058
1223,18204.89002
1224,7427.398656
1225,6124.742612
1226,2742.574589
1227,20126.93107
1228,6919.419019
1229,7305.676170999999
1230,10253.46092
1231,11409.31892
1232,6819.015506000001
1233,6822.465648
1234,4245.828141
1235,15698.7593
1236,11145.46635
1237,3472.5885009999997
1238,10576.37113
1239,8458.371946
1240,568.2644653
1241,8236.296284999999
1242,13035.56733
1243,8649.377902
1244,4251.031068
1245,45644.32013
1246,12890.06205
1247,10270.16234
1248,9577.219525
1249,4786.032005
1250,4224.003584
1251,5126.838087
1252,8236.086153
1253,7489.170604999999
1254,8484.742222
1255,8085.781013
1256,7401.826156
1257,6373.546018999999
1258,8040.3683439999995
1259,12704.77256
1260,2993.339437
1261,9835.251706000001
1262,9170.442839
1263,12002.85822
1264,11362.7639
1265,12487.10265
1266,2673.735532
1267,4020.1876350000002
1268,2676.100577
1269,14226.590259999999
1270,7707.691254
1271,6589.139541
1272,4286.301276
1273,8326.848018
1274,10755.89449
1275,9229.279406
1276,12606.011129999999
1277,5629.098822
1278,7703.424911
1279,8276.663862000001
